Category,Product,Scenario,Model,Base Price ($),Base Quantity,Base Cost ($),Base Elasticity,Effective Elasticity,Model R2,Model MAPE (%),Elasticity Factor Val,Elasticity Weight,Seasonality Factor Val,Seasonality Weight,Competitor Factor Val,Competitor Weight,Promotions Factor Val,Promotions Weight,Inventory Factor Val,Inventory Weight,Lifecycle Factor Val,Lifecycle Weight,Sentiment Factor Val,Sentiment Weight,Optimal Price Change (%),Base Profit ($),Optimal Profit ($),Profit Increment ($),Profit Increment (%),Base Revenue ($),Optimal Revenue ($),Optimal Price ($),Optimal Quantity
electronics,iphone_14_pro,competitor_war,Math,800.6875,760.25,930.0,-2.7420610332638695,-2.772052154830783,0.023773763072883813,83.25735761512607,-2.7420610332638695,0.0912663944403275,1.0,0.0,1.010937437643835,0.0075390981450072555,0.0,0.0,1.15,0.8194711940794217,1.0,0.0817233133352435,1.0,0.0,30.0,-98309.828125,46849.44212701966,145159.27025201966,147.65489170365657,608722.671875,439747.88029985,1040.89375,422.4714388955165
electronics,iphone_14_pro,competitor_war,ML Modular,800.6875,760.25,930.0,0.007165757276439422,0.007652350192991456,-1.1188172195856714,153.7667116739404,0.007165757276439422,0.0,1.0,0.0,1.0153919506067326,0.18637139632611466,0.0,0.0,1.15,0.8136286036738855,1.0517173215810454,0.0,1.0,0.0,30.0,-98309.828125,97147.86787687705,195457.69600187705,198.81806298486705,608722.671875,911869.3208487144,1040.89375,876.0445730879972
electronics,iphone_14_pro,competitor_war,ML Joint,800.6875,760.25,930.0,,0.0538248359518434,0.6954691251942202,20.30102464579863,0.007165757276439422,0.0,1.0,0.0,1.0153919506067326,0.0,0.0,0.0,1.15,0.0,1.0517173215810454,0.0,1.0,0.0,30.0,-98309.828125,80846.78304160386,179156.61116660386,182.23672503913645,608722.671875,758860.7218676569,1040.89375,729.0472460495195
electronics,iphone_14_pro,inflation,Math,1345.3,96.5,1186.225,-3.149979202065243,-3.09716922038273,0.4743231616951029,10.285749527095565,-3.149979202065243,0.5542413783936536,1.0,0.0,1.001869590134042,0.06601706972076055,0.0,0.0,1.0,0.0,1.0,0.1580220426021639,0.9814,0.221719509283422,30.0,15350.737500000005,24092.13959288212,8741.402092882114,56.944508971520825,129821.45,74883.81543653079,1748.89,42.81791046694234
electronics,iphone_14_pro,inflation,ML Modular,1345.3,96.5,1186.225,0.005625414405852069,0.005339055801520634,-1.5010851483588934,33.270160348934716,0.005625414405852069,0.0,1.0,0.0,0.9774020758174147,0.19331414794612908,0.0,0.0,1.0,0.7659520390134097,0.9710390200683102,0.040733813040461184,1.0,0.0,30.0,15350.737500000005,54373.2840499714,39022.5465499714,254.2063308031382,129821.45,169004.456900917,1748.89,96.63526974304672
electronics,iphone_14_pro,inflation,ML Joint,1345.3,96.5,1186.225,,0.0171485460063181,-0.22736368442457078,20.543073248492348,0.005625414405852069,0.0,1.0,0.0,0.9774020758174147,0.0,0.0,0.0,1.0,0.0,0.9710390200683102,0.0,1.0,0.0,30.0,15350.737500000005,54068.584918228524,38717.84741822852,252.22141553934142,129821.45,168057.38312786588,1748.89,96.09374124608516
electronics,iphone_14_pro,promo_heavy,Math,983.9825,443.75,930.0,15.92720264461579,16.17728674807453,0.2187620442307593,24.803225608325562,15.92720264461579,0.7315293110060472,1.0,0.0,1.0157016965903476,0.08830582089418462,0.0,0.0,1.0,0.0,1.0,0.18016486809976812,1.0,0.0,30.0,23954.73437499998,12178537.569527268,12154582.835152268,50739.79383314401,436642.234375,44614900.30409936,1279.17725,34877.809392013
electronics,iphone_14_pro,promo_heavy,ML Modular,983.9825,443.75,930.0,0.009795293064218669,0.009862838669576919,-0.07335524076731681,19.96841665090031,0.009795293064218669,0.0,1.0861706602765715,0.19306082060052476,1.0133506017986091,0.1309119519089854,0.0,0.0,1.0,0.6760272274904899,0.9936301601188843,0.0,1.0,0.0,30.0,23954.73437499998,168735.38963443725,144780.65525943728,604.3926557187608,436642.234375,618145.8605629604,1279.17725,483.23706551454103
electronics,iphone_14_pro,promo_heavy,ML Joint,983.9825,443.75,930.0,,0.026581730111496782,-24.49155940378738,28.812774457409716,0.009795293064218669,0.0,1.0861706602765715,0.0,1.0133506017986091,0.0,0.0,0.0,1.0,0.0,0.9936301601188843,0.0,1.0,0.0,30.0,23954.73437499998,954.3032208994155,-23000.431154100566,-96.01622290625204,436642.234375,3495.9980061022216,1279.17725,2.7330051453793613
electronics,iphone_14_pro,stable,Math,945.7075,383.25,930.0,-4.498196150003308,-4.560023504144022,0.8904755025737531,25.69986728088428,-4.498196150003308,0.9665113048258649,1.0,0.0,1.0137449217595076,0.020371600780042406,0.0,0.0,1.0,0.0,1.0,0.01311709439409268,1.0,0.0,26.0,6019.899374999993,34947.30287195194,28927.40349695195,480.52968488284716,362442.399375,159190.6283740481,1191.59145,133.59497365816793
