Category,Product,Scenario,Base Price ($),Math Opt Price (Revenue) ($),ML Mod Opt Price (Revenue) ($),ML Joint Opt Price (Revenue) ($),Math Opt Price (Profit) ($),ML Mod Opt Price (Profit) ($),ML Joint Opt Price (Profit) ($),Pct Diff (ML Mod vs Math) - Revenue Price (%),Pct Diff (ML Joint vs Math) - Revenue Price (%),Pct Diff (ML Mod vs Math) - Profit Price (%),Pct Diff (ML Joint vs Math) - Profit Price (%)
electronics,iphone_14_pro,competitor_war,800.6875,560.4812499999999,1040.89375,1040.89375,1040.89375,1040.89375,1040.89375,85.71428571428574,85.71428571428574,0.0,0.0
electronics,iphone_14_pro,inflation,1345.3,941.7099999999999,1748.89,1748.89,1748.89,1748.89,1748.89,85.71428571428574,85.71428571428574,0.0,0.0
electronics,iphone_14_pro,promo_heavy,983.9825,1279.17725,1279.17725,1279.17725,1279.17725,1279.17725,1279.17725,0.0,0.0,0.0,0.0
electronics,iphone_14_pro,stable,945.7075,661.9952499999999,661.9952499999999,1229.41975,1191.59145,1224.6912125,1229.41975,0.0,85.71428571428574,2.7777777777777777,3.1746031746031855
electronics,laptop,competitor_war,962.875,674.0124999999999,1251.7375,1251.7375,1251.7375,1251.7375,1251.7375,85.71428571428574,85.71428571428574,0.0,0.0
electronics,laptop,inflation,1625.6475,1137.95325,2113.34175,2113.34175,1942.6487625000002,2113.34175,2113.34175,85.71428571428571,85.71428571428571,8.78661087866108,8.78661087866108
electronics,laptop,promo_heavy,1183.5675,1538.63775,1538.63775,1538.63775,1538.63775,1538.63775,1538.63775,0.0,0.0,0.0,0.0
electronics,laptop,stable,1127.9875000000002,789.5912500000001,789.5912500000001,1466.3837500000002,1353.5850000000003,1466.3837500000002,1466.3837500000002,0.0,85.71428571428572,8.333333333333325,8.333333333333325
electronics,mobile_phone,competitor_war,640.49,448.34299999999996,832.6370000000001,832.6370000000001,691.7292000000001,832.6370000000001,832.6370000000001,85.71428571428574,85.71428571428574,20.37037037037036,20.37037037037036
electronics,mobile_phone,inflation,1078.945,755.2615,1402.6285,1402.6285,1240.7867499999998,1402.6285,1402.6285,85.71428571428574,85.71428571428574,13.04347826086959,13.04347826086959
electronics,mobile_phone,promo_heavy,792.8000000000001,554.96,1030.64,1030.64,614.4200000000001,1030.64,1030.64,85.71428571428572,85.71428571428572,67.74193548387096,67.74193548387096
electronics,mobile_phone,stable,756.6225000000001,529.63575,529.63575,983.6092500000001,696.0927,692.3095875000001,983.6092500000001,0.0,85.71428571428572,-0.5434782608695511,41.30434782608696
fmcg,face_wash,competitor_war,6.375,8.2875,8.2875,8.2875,8.2875,8.2875,8.2875,0.0,0.0,0.0,0.0
fmcg,face_wash,inflation,10.764999999999999,13.994499999999999,13.994499999999999,13.994499999999999,13.994499999999999,13.994499999999999,13.994499999999999,0.0,0.0,0.0,0.0
fmcg,face_wash,promo_heavy,7.9025,5.53175,5.53175,10.27325,6.717124999999999,5.84785,10.27325,0.0,85.71428571428574,-12.941176470588223,52.94117647058826
fmcg,face_wash,stable,7.5625,5.293749999999999,5.293749999999999,9.83125,6.6171875,7.3734375,9.83125,0.0,85.71428571428575,11.428571428571423,48.571428571428584
fmcg,fiama_body_wash,competitor_war,160.685,112.47949999999999,208.8905,208.8905,208.8905,208.8905,208.8905,85.71428571428574,85.71428571428574,0.0,0.0
fmcg,fiama_body_wash,inflation,267.6325,347.92225,347.92225,347.92225,347.92225,347.92225,347.92225,0.0,0.0,0.0,0.0
fmcg,fiama_body_wash,promo_heavy,196.79500000000002,137.7565,255.83350000000004,255.83350000000004,255.83350000000004,255.83350000000004,255.83350000000004,85.71428571428577,85.71428571428577,0.0,0.0
fmcg,fiama_body_wash,stable,187.2975,131.10825,131.10825,243.48675000000003,179.8056,206.9637375,243.48675000000003,0.0,85.71428571428574,15.104166666666671,35.416666666666686
fmcg,ghevar,competitor_war,11.995000000000001,8.3965,15.593500000000002,15.593500000000002,10.975425000000001,15.593500000000002,15.593500000000002,85.71428571428575,85.71428571428575,42.07650273224044,42.07650273224044
fmcg,ghevar,inflation,20.11,14.076999999999998,26.143,26.143,14.076999999999998,26.143,26.143,85.71428571428574,85.71428571428574,85.71428571428574,85.71428571428574
fmcg,ghevar,promo_heavy,14.8025,10.361749999999999,10.361749999999999,19.24325,13.470275,10.805825,19.24325,0.0,85.71428571428574,-19.78021978021978,42.85714285714285
fmcg,ghevar,stable,14.165,18.4145,18.4145,18.4145,18.4145,18.4145,18.4145,0.0,0.0,0.0,0.0
fmcg,rice,competitor_war,2.4050000000000002,3.1265000000000005,3.1265000000000005,3.1265000000000005,3.1265000000000005,3.1265000000000005,3.1265000000000005,0.0,0.0,0.0,0.0
fmcg,rice,inflation,4.0075,5.2097500000000005,5.2097500000000005,5.2097500000000005,5.2097500000000005,5.2097500000000005,5.2097500000000005,0.0,0.0,0.0,0.0
fmcg,rice,promo_heavy,2.9475,2.0632499999999996,2.0632499999999996,3.83175,3.83175,3.83175,3.83175,0.0,85.71428571428575,0.0,0.0
fmcg,rice,stable,2.8474999999999997,3.7017499999999997,3.7017499999999997,3.7017499999999997,3.7017499999999997,3.7017499999999997,3.7017499999999997,0.0,0.0,0.0,0.0
fmcg,shampoo,competitor_war,4.8125,6.2562500000000005,6.2562500000000005,6.2562500000000005,6.2562500000000005,6.2562500000000005,6.2562500000000005,0.0,0.0,0.0,0.0
fmcg,shampoo,inflation,8.065,10.4845,10.4845,10.4845,10.4845,10.4845,10.4845,0.0,0.0,0.0,0.0
fmcg,shampoo,promo_heavy,5.9174999999999995,4.14225,4.14225,7.692749999999999,6.657187499999999,7.692749999999999,7.692749999999999,0.0,85.71428571428571,15.55555555555556,15.55555555555556
fmcg,shampoo,stable,5.6325,3.9427499999999998,3.9427499999999998,7.32225,5.3227125,5.238225,7.32225,0.0,85.71428571428574,-1.587301587301584,37.566137566137584
